AUDONTD156N,Month,Year,,,,,,,
7/17/2001,7,2001,4.90906,,,,5,2012,3.907454545
7/18/2001,7,2001,4.92,,,,6,2012,3.706736842
7/19/2001,7,2001,5,,,,7,2012,3.642454545
7/20/2001,7,2001,4.9925,,,,8,2012,3.570727273
7/23/2001,7,2001,4.99219,,,,9,2012,3.5665
7/24/2001,7,2001,5,,,,10,2012,3.271391304
7/25/2001,7,2001,4.98719,,,,11,2012,3.191909091
7/26/2001,7,2001,4.98469,,,,12,2012,3.018526316
7/27/2001,7,2001,4.9975,,,,1,2013,3.004545455
7/30/2001,7,2001,5,,,,2,2013,3.0025
7/31/2001,7,2001,4.95156,,,,3,2013,2.9686
8/1/2001,8,2001,4.93375,,,,4,2013,2.974
8/2/2001,8,2001,4.90906,,,,5,2013,2.793904762
8/3/2001,8,2001,4.91094,,,,6,2013,#DIV/0!
8/6/2001,8,2001,4.91844,,,,7,2013,#DIV/0!
8/7/2001,8,2001,4.92375,,,,8,2013,#DIV/0!
8/8/2001,8,2001,4.91844,,,,9,2013,#DIV/0!
8/9/2001,8,2001,4.9525,,,,10,2013,#DIV/0!
8/10/2001,8,2001,4.945,,,,11,2013,#DIV/0!
8/13/2001,8,2001,4.92344,,,,12,2013,#DIV/0!
8/14/2001,8,2001,4.93938,,,,,,
8/15/2001,8,2001,4.8675,,,,,,
8/16/2001,8,2001,4.875,,,,,,
8/17/2001,8,2001,4.88875,,,,,,
8/20/2001,8,2001,4.84875,,,,,,
8/21/2001,8,2001,4.90156,,,,,,
8/22/2001,8,2001,4.8875,,,,,,
8/23/2001,8,2001,4.8875,,,,,,
8/24/2001,8,2001,4.89375,,,,,,
8/28/2001,8,2001,4.95688,,,,,,
8/29/2001,8,2001,5,,,,,,
8/30/2001,8,2001,5,,,,,,
8/31/2001,8,2001,4.94438,,,,,,
9/3/2001,9,2001,4.96875,,,,,,
9/4/2001,9,2001,4.91063,,,,,,
9/5/2001,9,2001,4.77031,,,,,,
9/6/2001,9,2001,4.755,,,,,,
9/7/2001,9,2001,4.75,,,,,,
9/10/2001,9,2001,4.725,,,,,,
9/11/2001,9,2001,4.62781,,,,,,
9/12/2001,9,2001,4.94375,,,,,,
9/13/2001,9,2001,4.89375,,,,,,
9/14/2001,9,2001,4.67,,,,,,
9/17/2001,9,2001,4.4325,,,,,,
9/18/2001,9,2001,4.5125,,,,,,
9/19/2001,9,2001,4.475,,,,,,
9/20/2001,9,2001,4.67313,,,,,,
9/21/2001,9,2001,4.60063,,,,,,
9/24/2001,9,2001,4.63,,,,,,
9/25/2001,9,2001,4.62,,,,,,
9/26/2001,9,2001,4.67938,,,,,,
9/27/2001,9,2001,4.66344,,,,,,
9/28/2001,9,2001,4.575,,,,,,
10/1/2001,10,2001,4.5175,,,,,,
10/2/2001,10,2001,4.43344,,,,,,
10/3/2001,10,2001,4.42438,,,,,,
10/4/2001,10,2001,4.39625,,,,,,
10/5/2001,10,2001,4.395,,,,,,
10/8/2001,10,2001,4.4875,,,,,,
10/9/2001,10,2001,4.5,,,,,,
10/10/2001,10,2001,4.475,,,,,,
10/11/2001,10,2001,4.4625,,,,,,
10/12/2001,10,2001,4.495,,,,,,
10/15/2001,10,2001,4.46688,,,,,,
10/16/2001,10,2001,4.44438,,,,,,
10/17/2001,10,2001,4.42656,,,,,,
10/18/2001,10,2001,4.41656,,,,,,
10/19/2001,10,2001,4.4325,,,,,,
10/22/2001,10,2001,4.41906,,,,,,
10/23/2001,10,2001,4.41656,,,,,,
10/24/2001,10,2001,4.40406,,,,,,
10/25/2001,10,2001,4.40656,,,,,,
10/26/2001,10,2001,4.40656,,,,,,
10/29/2001,10,2001,4.41156,,,,,,
10/30/2001,10,2001,4.40156,,,,,,
10/31/2001,10,2001,4.3925,,,,,,
11/1/2001,11,2001,4.3875,,,,,,
11/2/2001,11,2001,4.3875,,,,,,
11/5/2001,11,2001,4.3575,,,,,,
11/6/2001,11,2001,4.34063,,,,,,
11/7/2001,11,2001,4.3625,,,,,,
11/8/2001,11,2001,4.40406,,,,,,
11/9/2001,11,2001,4.40906,,,,,,
11/12/2001,11,2001,4.40406,,,,,,
11/13/2001,11,2001,4.45438,,,,,,
11/14/2001,11,2001,4.47188,,,,,,
11/15/2001,11,2001,4.4925,,,,,,
11/16/2001,11,2001,4.5,,,,,,
11/19/2001,11,2001,4.5,,,,,,
11/20/2001,11,2001,4.5,,,,,,
11/21/2001,11,2001,4.5,,,,,,
11/22/2001,11,2001,4.4875,,,,,,
11/23/2001,11,2001,4.42188,,,,,,
11/26/2001,11,2001,4.375,,,,,,
11/27/2001,11,2001,4.365,,,,,,
11/28/2001,11,2001,4.35625,,,,,,
11/29/2001,11,2001,4.3875,,,,,,
11/30/2001,11,2001,4.38875,,,,,,
12/3/2001,12,2001,4.30563,,,,,,
12/4/2001,12,2001,4.25,,,,,,
12/5/2001,12,2001,4.15313,,,,,,
12/6/2001,12,2001,4.15438,,,,,,
12/7/2001,12,2001,4.1025,,,,,,
12/10/2001,12,2001,4.11625,,,,,,
12/11/2001,12,2001,4.15,,,,,,
12/12/2001,12,2001,4.2125,,,,,,
12/13/2001,12,2001,4.26531,,,,,,
12/14/2001,12,2001,4.30625,,,,,,
12/17/2001,12,2001,4.33813,,,,,,
12/18/2001,12,2001,4.33563,,,,,,
12/19/2001,12,2001,4.35469,,,,,,
12/20/2001,12,2001,4.27813,,,,,,
12/21/2001,12,2001,4.2325,,,,,,
